sigma,mu,mean,variance,hit_fraction,score
0.1,53.41389083862305,0.060022360000000004,3.989227721488598e-06,1.0,0.9804265280592238
0.15,53.43980026245117,0.060025919999999997,9.227034967587043e-06,1.0,0.9542968251620648
0.2,53.479007720947266,0.06000668000000001,1.705041954541818e-05,1.0,0.9148592356062425
0.25,53.5286979675293,0.059987599999999995,2.8584239935974412e-05,1.0,0.8572854669867946
0.3,53.59086227416992,0.0599568,4.187838111244501e-05,1.0,0.791328094437775
0.35,53.645565032958984,0.06002292,6.164173536774714e-05,1.0,0.6921733231612643
0.4,53.716312408447266,0.060059119999999994,8.007326213045224e-05,1.0,0.6006190226810721
0.44999999999999996,53.8183708190918,0.06003568,0.00010849845431932777,1.0,0.4581023950700279
0.5,53.871036529541016,0.060047760000000006,0.00013173771006642665,1.0,0.3421074496678669
0.5499999999999999,53.980533599853516,0.060063,0.00016092002701080437,1.0,0.19644986494597821
0.6,54.052791595458984,0.06002912,0.0001870488835790317,1.0,0.06524091543817485
0.6499999999999999,54.12983322143555,0.05994488,0.00021690799698439382,1.0,0.0854586515886357
0.7,54.16256332397461,0.06042052,0.0002687231521904763,1.0,0.3506244276190482
